Time (UTC),Toyama (m),Sado (m),Fukaura (m),Saigo (m),Rudnaya (m),Preobrazheniye (m),Sosunovo (m)
2024/01/01 05:09:00,-0.013,-0.016,-0.003,0.002,0.002,-0.005,-0.007
2024/01/01 05:10:00,-0.020,-0.017,0.000,-0.004,0.011,0.015,-0.007
2024/01/01 05:11:00,-0.017,0.004,-0.004,-0.005,0.001,0.005,-0.018
2024/01/01 05:12:00,-0.014,0.019,-0.010,0.001,0.001,-0.016,0.002
2024/01/01 05:13:00,0.001,0.019,0.014,0.010,-0.020,-0.036,0.012
2024/01/01 05:14:00,-0.005,0.018,0.008,0.007,-0.050,-0.036,0.011
2024/01/01 05:15:00,-0.008,-0.010,0.002,0.004,0.010,-0.007,-0.009
2024/01/01 05:16:00,0.001,-0.016,-0.008,0.016,-0.001,-0.057,-0.009
2024/01/01 05:17:00,0.001,-0.017,0.010,0.006,-0.001,-0.048,-0.010
2024/01/01 05:18:00,-0.002,-0.005,-0.002,0.021,-0.021,-0.048,0.000
2024/01/01 05:19:00,-0.005,0.001,-0.003,0.018,0.028,-0.018,0.000
2024/01/01 05:20:00,-0.014,0.000,0.015,0.012,-0.012,0.041,-0.011
2024/01/01 05:21:00,-0.002,0.009,0.021,0.030,0.008,-0.009,0.009
2024/01/01 05:22:00,-0.017,-0.001,0.018,0.008,0.008,0.010,-0.001
2024/01/01 05:23:00,-0.014,0.002,-0.019,0.014,-0.013,-0.020,-0.001
2024/01/01 05:24:00,-0.011,0.007,0.005,0.014,0.007,-0.011,0.008
2024/01/01 05:25:00,0.005,0.013,-0.023,0.011,0.007,0.029,-0.002
2024/01/01 05:26:00,-0.001,-0.012,-0.011,0.011,-0.003,0.018,-0.022
2024/01/01 05:27:00,-0.007,-0.012,-0.023,0.007,-0.014,0.028,-0.023
2024/01/01 05:28:00,-0.001,-0.025,-0.011,-0.002,-0.034,0.007,-0.023
2024/01/01 05:29:00,0.018,-0.007,0.013,0.004,-0.014,0.027,-0.003
2024/01/01 05:30:00,-0.015,0.020,-0.006,0.004,-0.034,0.026,-0.003
2024/01/01 05:31:00,-0.024,0.019,0.027,-0.003,-0.004,0.026,-0.003
2024/01/01 05:32:00,-0.006,0.013,0.015,0.000,-0.005,0.025,-0.004
2024/01/01 05:33:00,0.001,0.006,0.018,0.000,-0.015,0.025,0.006
2024/01/01 05:34:00,-0.020,-0.016,0.005,-0.009,-0.045,0.024,-0.004
2024/01/01 05:35:00,-0.011,-0.035,0.005,-0.009,-0.025,0.014,0.016
2024/01/01 05:36:00,0.011,-0.017,-0.002,0.003,0.005,0.013,0.006
2024/01/01 05:37:00,0.014,0.001,0.007,-0.007,0.025,0.003,0.005
2024/01/01 05:38:00,0.012,0.007,0.001,0.005,0.014,0.012,-0.005
2024/01/01 05:39:00,0.012,0.003,0.012,-0.016,0.004,0.001,-0.005
2024/01/01 05:40:00,0.018,0.003,0.024,0.002,0.024,0.001,-0.005
2024/01/01 05:41:00,0.010,0.012,0.000,0.001,0.044,0.020,-0.005
2024/01/01 05:42:00,0.001,-0.013,-0.010,-0.014,0.064,-0.020,-0.015
2024/01/01 05:43:00,0.019,-0.023,0.005,-0.002,0.004,-0.021,-0.006
2024/01/01 05:44:00,-0.008,-0.029,-0.020,-0.012,0.004,-0.031,-0.006
2024/01/01 05:45:00,-0.007,-0.017,-0.026,-0.009,-0.057,-0.032,0.024
2024/01/01 05:46:00,0.008,0.003,-0.002,-0.006,-0.037,-0.013,0.014
2024/01/01 05:47:00,0.014,0.006,0.006,0.000,-0.007,-0.033,0.024
2024/01/01 05:48:00,0.005,0.012,0.012,-0.006,-0.027,-0.014,-0.006
2024/01/01 05:49:00,0.003,-0.004,0.006,0.008,-0.017,-0.015,-0.016
2024/01/01 05:50:00,0.033,0.008,0.002,-0.010,0.023,-0.015,0.014
2024/01/01 05:51:00,0.018,-0.001,0.008,-0.010,0.002,-0.006,0.003
2024/01/01 05:52:00,0.003,-0.014,-0.020,0.008,0.012,0.024,0.023
2024/01/01 05:53:00,0.012,-0.017,-0.008,-0.005,0.012,0.003,0.003
2024/01/01 05:54:00,0.019,-0.005,0.022,0.010,0.052,0.012,0.003
2024/01/01 05:55:00,-0.006,0.013,0.006,0.007,0.062,0.012,0.023
2024/01/01 05:56:00,0.000,0.012,0.012,0.000,0.062,0.011,0.003
2024/01/01 05:57:00,0.016,0.003,0.024,0.015,0.001,0.021,0.003
2024/01/01 05:58:00,0.019,-0.007,-0.001,0.000,0.001,0.010,0.013
2024/01/01 05:59:00,0.009,-0.022,0.008,-0.019,0.001,0.019,0.003
2024/01/01 06:00:00,0.006,-0.013,-0.017,0.005,0.011,0.009,0.022
2024/01/01 06:01:00,0.027,0.008,-0.020,0.002,-0.010,0.008,0.022
2024/01/01 06:02:00,0.021,0.008,-0.006,0.001,-0.030,0.017,0.022
2024/01/01 06:03:00,0.006,0.010,-0.009,-0.008,-0.010,0.017,0.022
2024/01/01 06:04:00,0.005,0.001,-0.012,0.004,0.000,0.006,0.012
2024/01/01 06:05:00,0.011,-0.030,0.006,-0.006,-0.011,-0.004,0.012
2024/01/01 06:06:00,0.008,-0.006,0.002,-0.006,-0.011,-0.015,0.002
2024/01/01 06:07:00,-0.002,0.021,0.005,-0.010,-0.021,0.005,0.002
2024/01/01 06:08:00,-0.014,0.012,-0.008,-0.016,0.019,-0.006,-0.009
2024/01/01 06:09:00,0.003,0.012,-0.002,0.002,0.008,-0.007,-0.019
2024/01/01 06:10:00,0.003,0.005,0.001,0.001,0.008,-0.037,0.001
2024/01/01 06:11:00,-0.007,0.002,-0.006,0.007,-0.012,-0.018,0.001
2024/01/01 06:12:00,-0.010,-0.016,0.000,-0.002,-0.003,-0.048,-0.009
2024/01/01 06:13:00,0.032,-0.007,0.005,0.009,-0.003,-0.039,0.001
2024/01/01 06:14:00,0.013,0.007,0.002,-0.003,-0.004,-0.039,0.000
2024/01/01 06:15:00,0.006,0.016,-0.001,0.003,-0.004,-0.040,0.000
2024/01/01 06:16:00,0.017,0.019,0.007,0.002,-0.034,-0.010,-0.010
2024/01/01 06:17:00,0.014,0.016,-0.008,0.011,-0.035,-0.031,0.020
2024/01/01 06:18:00,0.013,0.009,0.001,0.007,0.005,-0.001,-0.010
2024/01/01 06:19:00,0.000,0.000,0.000,0.004,0.014,-0.002,-0.011
2024/01/01 06:20:00,-0.001,-0.013,0.006,-0.006,0.004,-0.002,-0.031
2024/01/01 06:21:00,-0.008,-0.001,-0.010,0.006,-0.017,-0.003,-0.011
2024/01/01 06:22:00,-0.006,0.008,-0.007,0.006,-0.007,-0.003,-0.021
2024/01/01 06:23:00,-0.007,-0.016,-0.001,-0.010,-0.018,-0.004,-0.012
2024/01/01 06:24:00,-0.008,0.017,-0.011,0.005,0.002,-0.004,0.008
2024/01/01 06:25:00,0.006,0.016,-0.017,0.002,-0.019,0.026,-0.002
2024/01/01 06:26:00,0.017,-0.002,-0.008,0.010,0.011,-0.005,0.008
2024/01/01 06:27:00,0.025,-0.003,0.000,-0.011,0.000,0.025,-0.013
2024/01/01 06:28:00,0.024,-0.012,-0.003,0.006,0.000,0.024,0.007
2024/01/01 06:29:00,0.020,-0.013,-0.016,0.000,-0.011,0.014,-0.003
2024/01/01 06:30:00,-0.003,-0.007,-0.007,0.009,-0.011,0.014,-0.004
2024/01/01 06:31:00,-0.001,0.026,-0.001,-0.001,-0.012,0.013,-0.004
2024/01/01 06:32:00,-0.014,0.007,-0.002,0.011,-0.003,0.023,0.016
2024/01/01 06:33:00,-0.006,0.007,-0.008,0.008,-0.013,0.022,0.016
2024/01/01 06:34:00,-0.013,-0.006,-0.002,-0.008,0.006,0.012,0.005
2024/01/01 06:35:00,-0.005,-0.006,0.003,0.004,0.005,0.012,-0.015
2024/01/01 06:36:00,-0.007,-0.007,0.012,0.006,0.025,0.011,-0.015
2024/01/01 06:37:00,0.017,0.017,-0.004,0.003,0.014,0.011,-0.026
2024/01/01 06:38:00,0.012,0.022,0.008,-0.016,-0.007,0.011,-0.016
2024/01/01 06:39:00,0.023,0.013,0.005,-0.016,-0.007,0.000,-0.007
2024/01/01 06:40:00,0.016,0.009,-0.008,0.002,0.002,-0.010,0.003
2024/01/01 06:41:00,0.003,0.002,-0.011,0.001,-0.009,-0.010,0.003
2024/01/01 06:42:00,-0.005,-0.008,0.010,-0.014,0.021,-0.011,-0.008
2024/01/01 06:43:00,0.010,-0.005,0.006,-0.027,0.010,-0.011,0.002
2024/01/01 06:44:00,-0.025,0.012,0.018,-0.018,0.009,-0.021,0.002
2024/01/01 06:45:00,-0.017,0.008,-0.004,-0.003,0.028,-0.002,-0.019
2024/01/01 06:46:00,-0.009,0.035,-0.001,-0.013,0.008,-0.012,0.011
2024/01/01 06:47:00,-0.004,0.031,-0.008,-0.019,-0.003,-0.012,0.000
2024/01/01 06:48:00,0.007,0.030,-0.011,-0.010,-0.004,-0.003,0.010
2024/01/01 06:49:00,0.015,-0.019,-0.012,0.011,0.035,0.007,0.010
2024/01/01 06:50:00,0.026,-0.008,-0.006,-0.005,0.035,-0.003,0.009
2024/01/01 06:51:00,0.010,-0.012,0.011,-0.008,-0.016,-0.004,0.009
2024/01/01 06:52:00,0.018,-0.004,0.020,-0.008,0.033,-0.014,0.019
2024/01/01 06:53:00,0.008,0.014,0.007,0.007,-0.018,0.006,0.008
2024/01/01 06:54:00,0.010,0.028,0.013,0.003,0.011,-0.005,-0.002
2024/01/01 06:55:00,-0.006,0.030,0.000,0.009,0.031,0.005,0.007
2024/01/01 06:56:00,-0.009,-0.014,-0.013,0.000,-0.010,-0.006,0.007
2024/01/01 06:57:00,0.002,-0.015,-0.001,0.002,0.009,-0.006,-0.003
2024/01/01 06:58:00,-0.002,-0.025,-0.004,-0.007,-0.032,0.024,0.006
2024/01/01 06:59:00,-0.002,-0.026,0.004,-0.004,0.067,0.003,0.006
2024/01/01 07:00:00,0.000,-0.009,0.019,0.011,0.017,0.023,0.005
2024/01/01 07:01:00,0.018,0.017,0.018,-0.002,0.006,0.012,0.005
2024/01/01 07:02:00,0.002,0.007,0.018,0.010,-0.015,0.012,-0.015
2024/01/01 07:03:00,0.005,-0.009,0.005,-0.006,-0.006,0.031,-0.006
2024/01/01 07:04:00,-0.002,-0.007,0.001,0.003,-0.027,0.021,0.004
2024/01/01 07:05:00,0.007,-0.027,-0.006,-0.003,0.003,0.011,0.004
2024/01/01 07:06:00,0.004,-0.013,-0.013,0.006,0.002,0.010,0.003
2024/01/01 07:07:00,-0.012,-0.008,-0.016,0.015,-0.029,0.019,0.003
2024/01/01 07:08:00,-0.015,0.006,0.008,0.008,0.000,-0.001,0.003
2024/01/01 07:09:00,-0.012,0.008,0.016,0.008,-0.040,0.008,-0.008
2024/01/01 07:10:00,-0.012,-0.024,0.018,0.002,-0.021,0.018,-0.008
2024/01/01 07:11:00,-0.046,-0.022,0.018,0.002,-0.012,-0.013,-0.008
2024/01/01 07:12:00,-0.006,-0.029,0.023,0.020,0.007,-0.003,0.001
2024/01/01 07:13:00,-0.113,-0.006,0.010,0.004,0.026,-0.004,-0.009
2024/01/01 07:14:00,-0.363,0.008,-0.006,0.010,0.026,-0.005,0.001
2024/01/01 07:15:00,-0.500,0.010,-0.010,0.013,0.005,-0.005,-0.009
2024/01/01 07:16:00,-0.457,0.005,-0.026,0.007,-0.036,-0.006,-0.020
2024/01/01 07:17:00,-0.414,-0.017,-0.008,0.000,-0.006,-0.007,0.000
2024/01/01 07:18:00,-0.234,-0.043,-0.015,-0.006,0.013,-0.018,0.000
2024/01/01 07:19:00,-0.111,-0.035,0.006,-0.009,-0.008,0.012,0.000
2024/01/01 07:20:00,0.041,0.004,0.011,0.018,-0.039,0.021,-0.001
2024/01/01 07:21:00,0.197,-0.010,0.013,0.011,-0.019,0.020,-0.001
2024/01/01 07:22:00,0.362,0.001,0.012,-0.016,-0.020,0.039,-0.021
2024/01/01 07:23:00,0.390,-0.006,0.008,-0.004,-0.011,0.038,-0.001
2024/01/01 07:24:00,0.220,-0.017,0.002,0.005,-0.031,-0.013,-0.011
2024/01/01 07:25:00,0.084,-0.024,-0.008,0.008,-0.032,0.007,-0.012
2024/01/01 07:26:00,-0.144,-0.031,-0.006,-0.011,-0.023,0.036,-0.012
2024/01/01 07:27:00,-0.344,-0.002,-0.010,0.001,-0.013,-0.015,-0.002
2024/01/01 07:28:00,-0.389,0.010,0.001,0.010,0.016,0.004,-0.002
2024/01/01 07:29:00,-0.282,-0.013,0.013,0.028,-0.035,-0.017,-0.002
2024/01/01 07:30:00,-0.190,-0.035,0.003,-0.003,-0.015,-0.018,-0.002
2024/01/01 07:31:00,-0.040,-0.024,-0.004,-0.003,0.024,-0.039,-0.002
2024/01/01 07:32:00,0.172,-0.019,0.004,0.012,0.013,-0.030,-0.003
2024/01/01 07:33:00,0.401,0.005,0.000,0.003,0.023,-0.032,-0.003
2024/01/01 07:34:00,0.655,0.055,-0.013,0.006,0.022,-0.013,-0.003
2024/01/01 07:35:00,0.784,0.088,-0.007,-0.001,-0.008,-0.044,-0.003
2024/01/01 07:36:00,0.651,0.069,-0.011,0.020,-0.039,-0.025,0.007
2024/01/01 07:37:00,0.560,0.004,-0.012,-0.004,0.000,-0.016,-0.003
2024/01/01 07:38:00,0.537,-0.045,-0.013,-0.007,-0.010,-0.017,-0.003
2024/01/01 07:39:00,0.294,-0.064,-0.011,-0.017,-0.001,-0.009,-0.003
2024/01/01 07:40:00,-0.043,-0.068,0.004,0.007,0.019,0.000,-0.003
2024/01/01 07:41:00,-0.313,-0.035,0.003,0.004,0.008,0.019,0.017
2024/01/01 07:42:00,-0.334,0.031,-0.007,0.007,0.028,0.058,0.027
2024/01/01 07:43:00,-0.217,0.083,0.008,-0.005,0.007,-0.014,0.006
2024/01/01 07:44:00,-0.186,0.091,0.001,-0.009,0.007,0.015,0.016
2024/01/01 07:45:00,-0.185,0.063,-0.006,0.009,0.016,-0.006,0.006
2024/01/01 07:46:00,-0.004,-0.007,-0.010,-0.021,0.015,0.012,-0.004
2024/01/01 07:47:00,0.229,-0.059,-0.004,0.000,0.065,-0.039,-0.004
2024/01/01 07:48:00,0.385,-0.060,-0.005,0.000,0.064,0.010,-0.004
2024/01/01 07:49:00,0.261,-0.011,-0.012,0.002,0.024,0.018,0.016
2024/01/01 07:50:00,0.000,0.050,-0.013,-0.016,0.013,-0.013,-0.004
2024/01/01 07:51:00,-0.228,0.120,-0.013,-0.004,0.013,-0.015,0.006
2024/01/01 07:52:00,-0.361,0.132,-0.008,-0.016,0.032,-0.016,-0.004
2024/01/01 07:53:00,-0.385,0.116,-0.014,-0.023,0.022,0.003,-0.004
2024/01/01 07:54:00,-0.283,0.068,-0.009,-0.020,-0.009,0.001,0.006
2024/01/01 07:55:00,-0.161,-0.039,-0.010,-0.014,-0.019,0.000,0.006
2024/01/01 07:56:00,-0.133,-0.143,-0.004,-0.002,0.011,-0.002,0.016
2024/01/01 07:57:00,-0.077,-0.176,0.002,-0.014,-0.020,-0.003,0.026
2024/01/01 07:58:00,0.039,-0.124,-0.002,-0.033,-0.010,-0.025,0.025
2024/01/01 07:59:00,0.016,-0.054,-0.009,-0.015,-0.011,-0.026,0.035
2024/01/01 08:00:00,-0.145,0.050,-0.012,-0.006,-0.031,-0.037,0.015
2024/01/01 08:01:00,-0.270,0.121,-0.013,-0.006,-0.002,-0.049,0.005
2024/01/01 08:02:00,-0.150,0.109,-0.016,0.003,-0.002,-0.050,0.005
2024/01/01 08:03:00,-0.031,0.012,0.017,-0.010,-0.013,-0.042,0.005
2024/01/01 08:04:00,0.103,-0.107,0.029,0.008,-0.023,-0.053,0.005
2024/01/01 08:05:00,0.244,-0.158,0.056,0.005,-0.004,-0.055,-0.005
2024/01/01 08:06:00,0.436,-0.112,0.065,0.002,-0.034,0.014,-0.006
2024/01/01 08:07:00,0.540,0.002,0.058,-0.004,-0.015,-0.047,-0.006
2024/01/01 08:08:00,0.415,0.118,0.037,0.017,-0.025,-0.019,-0.006
2024/01/01 08:09:00,0.195,0.192,0.018,0.014,-0.035,-0.010,-0.006
2024/01/01 08:10:00,-0.051,0.150,-0.021,0.007,-0.006,-0.021,0.004
2024/01/01 08:11:00,-0.274,0.047,-0.025,-0.005,-0.016,-0.003,0.003
2024/01/01 08:12:00,-0.423,-0.065,-0.003,0.001,-0.027,-0.004,-0.007
2024/01/01 08:13:00,-0.457,-0.122,0.003,0.007,0.003,-0.005,-0.007
2024/01/01 08:14:00,-0.317,-0.139,0.012,0.000,-0.008,0.123,-0.007
2024/01/01 08:15:00,-0.098,-0.126,0.027,-0.006,0.012,0.012,-0.008
2024/01/01 08:16:00,0.051,-0.064,0.011,0.000,0.001,0.001,0.002
2024/01/01 08:17:00,0.206,0.007,-0.010,-0.012,0.061,0.000,-0.008
2024/01/01 08:18:00,0.315,0.065,-0.043,0.000,0.011,-0.011,0.001
2024/01/01 08:19:00,0.272,0.085,-0.065,0.003,0.000,0.207,-0.009
2024/01/01 08:20:00,0.073,0.061,-0.074,-0.016,0.020,0.236,0.001
2024/01/01 08:21:00,-0.180,0.044,-0.043,-0.010,-0.001,0.135,-0.010
2024/01/01 08:22:00,-0.416,0.021,-0.013,0.002,0.019,0.034,-0.010
2024/01/01 08:23:00,-0.523,-0.021,0.027,0.011,-0.002,0.023,-0.010
2024/01/01 08:24:00,-0.418,-0.069,0.040,0.008,0.008,0.042,-0.011
2024/01/01 08:25:00,-0.245,-0.049,0.049,-0.007,-0.032,0.001,-0.011
2024/01/01 08:26:00,-0.050,-0.015,0.046,0.017,-0.003,0.010,-0.012
2024/01/01 08:27:00,0.131,0.004,0.001,0.020,-0.023,0.019,-0.012
2024/01/01 08:28:00,0.368,0.009,-0.051,0.032,-0.014,-0.021,-0.013
2024/01/01 08:29:00,0.586,0.089,-0.072,0.050,-0.024,-0.032,-0.003
2024/01/01 08:30:00,0.540,0.169,-0.069,0.068,-0.054,-0.023,-0.004
2024/01/01 08:31:00,0.298,0.143,-0.071,0.059,0.025,-0.034,-0.004
2024/01/01 08:32:00,0.098,0.046,-0.044,0.034,0.015,-0.034,-0.005
2024/01/01 08:33:00,-0.125,-0.139,0.015,0.022,0.054,-0.065,-0.015
2024/01/01 08:34:00,-0.367,-0.235,0.079,0.007,0.004,-0.036,-0.006
2024/01/01 08:35:00,-0.558,-0.204,0.098,0.022,0.024,-0.016,0.014
2024/01/01 08:36:00,-0.562,-0.087,0.083,0.016,0.013,-0.027,0.013
2024/01/01 08:37:00,-0.368,0.118,0.080,0.009,0.013,0.003,-0.008
2024/01/01 08:38:00,-0.132,0.289,0.041,-0.049,-0.018,0.042,0.002
2024/01/01 08:39:00,0.055,0.327,-0.031,-0.128,-0.018,0.042,0.011
2024/01/01 08:40:00,0.267,0.215,-0.089,-0.140,-0.018,0.041,0.011
2024/01/01 08:41:00,0.424,-0.040,-0.058,-0.021,0.021,0.041,-0.010
2024/01/01 08:42:00,0.493,-0.259,-0.018,0.082,-0.029,0.021,0.009
2024/01/01 08:43:00,0.440,-0.289,0.056,0.042,-0.029,0.040,-0.001
2024/01/01 08:44:00,0.319,-0.123,0.163,0.006,0.000,0.040,0.018
2024/01/01 08:45:00,0.171,0.103,0.267,0.015,-0.040,0.020,0.017
2024/01/01 08:46:00,0.045,0.256,0.201,0.003,-0.020,0.030,0.007
2024/01/01 08:47:00,-0.088,0.244,0.018,-0.083,0.000,0.000,0.006
2024/01/01 08:48:00,-0.193,0.034,-0.133,-0.162,0.059,-0.010,-0.005
2024/01/01 08:49:00,-0.292,-0.179,-0.239,0.109,0.099,-0.030,-0.006
2024/01/01 08:50:00,-0.315,-0.233,-0.367,0.274,0.089,-0.050,0.004
2024/01/01 08:51:00,-0.310,-0.166,-0.348,0.130,0.068,-0.070,0.003
2024/01/01 08:52:00,-0.263,-0.089,-0.128,-0.071,0.048,-0.110,0.002
2024/01/01 08:53:00,-0.173,0.063,0.168,-0.132,0.068,-0.110,0.012
2024/01/01 08:54:00,-0.074,0.173,0.306,0.027,0.078,-0.110,-0.009
2024/01/01 08:55:00,0.034,0.155,0.343,0.048,0.067,-0.050,0.010
2024/01/01 08:56:00,0.167,0.043,0.282,-0.077,-0.013,-0.049,0.019
2024/01/01 08:57:00,0.272,-0.061,0.073,-0.059,-0.073,-0.039,-0.001
2024/01/01 08:58:00,0.365,-0.140,-0.162,0.048,-0.093,0.011,0.008
2024/01/01 08:59:00,0.376,-0.150,-0.323,0.002,-0.043,0.032,-0.003
2024/01/01 09:00:00,0.280,-0.080,-0.383,-0.117,0.037,0.032,-0.004
2024/01/01 09:01:00,0.169,0.067,-0.261,-0.147,0.016,0.102,-0.014
2024/01/01 09:02:00,0.037,0.158,-0.032,0.011,-0.044,0.013,-0.015
2024/01/01 09:03:00,-0.126,0.151,0.219,0.115,-0.074,0.013,-0.006
2024/01/01 09:04:00,-0.307,0.087,0.350,0.038,-0.064,0.014,-0.016
2024/01/01 09:05:00,-0.436,-0.045,0.338,-0.077,-0.034,-0.006,0.003
2024/01/01 09:06:00,-0.447,-0.182,0.205,-0.157,-0.054,0.005,-0.018
2024/01/01 09:07:00,-0.353,-0.235,-0.030,-0.141,-0.034,0.045,-0.008
2024/01/01 09:08:00,-0.223,-0.214,-0.224,-0.035,-0.034,0.056,-0.009
2024/01/01 09:09:00,-0.090,-0.117,-0.355,0.002,-0.024,-0.004,0.000
2024/01/01 09:10:00,0.095,0.047,-0.334,0.048,0.016,-0.073,-0.020
2024/01/01 09:11:00,0.240,0.156,-0.166,0.096,0.045,-0.082,-0.031
2024/01/01 09:12:00,0.322,0.125,0.027,0.105,0.045,-0.012,-0.002
2024/01/01 09:13:00,0.312,-0.016,0.182,-0.001,0.015,-0.031,-0.002
2024/01/01 09:14:00,0.241,-0.127,0.204,-0.157,-0.035,-0.080,-0.003
2024/01/01 09:15:00,0.118,-0.143,0.112,-0.166,-0.065,-0.020,-0.003
2024/01/01 09:16:00,-0.047,-0.083,-0.018,-0.044,0.005,-0.019,-0.004
2024/01/01 09:17:00,-0.219,0.022,-0.119,0.069,0.016,-0.058,-0.015
2024/01/01 09:18:00,-0.317,0.104,-0.186,0.059,-0.044,-0.068,0.015
2024/01/01 09:19:00,-0.308,0.087,-0.128,0.072,-0.044,-0.037,0.034
2024/01/01 09:20:00,-0.208,-0.024,0.040,0.151,0.016,-0.006,0.044
2024/01/01 09:21:00,-0.080,-0.119,0.226,0.136,0.086,0.025,0.023
2024/01/01 09:22:00,0.050,-0.142,0.287,0.004,0.036,0.015,0.013
2024/01/01 09:23:00,0.172,-0.095,0.232,-0.124,0.006,0.016,-0.008
2024/01/01 09:24:00,0.293,0.008,0.128,-0.051,-0.044,-0.003,-0.008
2024/01/01 09:25:00,0.324,0.122,-0.025,0.135,0.096,0.077,0.022
2024/01/01 09:26:00,0.269,0.179,-0.165,0.151,0.106,0.058,0.001
2024/01/01 09:27:00,0.214,0.178,-0.241,0.093,0.046,0.029,0.011
2024/01/01 09:28:00,0.134,0.130,-0.190,0.089,-0.074,0.030,-0.010
2024/01/01 09:29:00,0.037,0.068,-0.047,-0.002,-0.153,-0.010,-0.020
2024/01/01 09:30:00,-0.082,0.006,0.084,-0.039,-0.243,0.051,-0.010
2024/01/01 09:31:00,-0.152,-0.032,0.181,-0.051,-0.323,0.062,-0.001
2024/01/01 09:32:00,-0.177,-0.022,0.172,-0.057,-0.143,0.102,0.009
2024/01/01 09:33:00,-0.165,0.023,0.080,0.041,0.037,0.043,-0.001
2024/01/01 09:34:00,-0.088,0.052,-0.033,0.013,0.177,0.003,-0.001
2024/01/01 09:35:00,-0.006,0.044,-0.137,0.080,0.227,-0.016,-0.012
2024/01/01 09:36:00,0.110,0.024,-0.235,0.031,0.167,-0.005,-0.002
2024/01/01 09:37:00,0.193,-0.032,-0.232,-0.124,0.058,0.025,-0.002
2024/01/01 09:38:00,0.236,-0.098,-0.090,-0.112,0.078,-0.014,-0.002
2024/01/01 09:39:00,0.209,-0.117,0.062,-0.036,0.008,-0.044,-0.013
2024/01/01 09:40:00,0.178,-0.024,0.144,0.049,-0.042,-0.043,-0.003
2024/01/01 09:41:00,0.090,0.053,0.205,0.058,-0.082,0.027,0.017
2024/01/01 09:42:00,-0.040,0.055,0.186,0.034,-0.012,0.018,0.047
2024/01/01 09:43:00,-0.165,0.102,0.081,0.076,-0.012,-0.052,0.017
2024/01/01 09:44:00,-0.238,0.104,-0.001,0.079,0.158,-0.012,-0.033
2024/01/01 09:45:00,-0.280,0.091,-0.042,-0.064,0.019,-0.041,-0.053
2024/01/01 09:46:00,-0.268,0.074,-0.042,-0.140,0.009,-0.091,-0.063
2024/01/01 09:47:00,-0.219,0.100,-0.025,-0.137,-0.021,-0.091,-0.003
2024/01/01 09:48:00,-0.111,0.081,0.020,-0.082,0.059,0.040,0.117
2024/01/01 09:49:00,-0.016,0.012,0.038,0.009,0.109,0.040,0.126
2024/01/01 09:50:00,0.048,-0.077,0.001,0.061,0.099,0.040,0.016
2024/01/01 09:51:00,0.097,-0.149,-0.073,0.088,0.009,0.040,-0.084
2024/01/01 09:52:00,0.128,-0.162,-0.132,0.052,-0.111,0.041,-0.114
2024/01/01 09:53:00,0.162,-0.102,-0.139,-0.016,-0.071,0.031,-0.054
2024/01/01 09:54:00,0.147,0.022,-0.097,-0.089,-0.081,0.131,0.016
2024/01/01 09:55:00,0.135,0.131,-0.034,-0.055,-0.021,0.181,0.016
2024/01/01 09:56:00,0.108,0.142,0.008,-0.031,-0.091,0.191,-0.004
2024/01/01 09:57:00,0.133,0.047,0.059,0.021,-0.181,0.131,-0.033
2024/01/01 09:58:00,0.152,-0.079,0.101,0.131,-0.251,0.111,-0.033
2024/01/01 09:59:00,0.140,-0.156,0.082,0.134,-0.151,0.071,0.077
2024/01/01 10:00:00,0.076,-0.175,0.066,0.042,-0.011,0.081,0.117
2024/01/01 10:01:00,0.009,-0.133,0.111,-0.080,0.119,0.041,0.047
2024/01/01 10:02:00,-0.057,0.021,0.174,-0.135,0.119,-0.079,-0.053
2024/01/01 10:03:00,-0.103,0.189,0.128,-0.077,0.209,-0.180,-0.053
2024/01/01 10:04:00,-0.155,0.279,0.036,-0.062,0.239,-0.220,-0.003
2024/01/01 10:05:00,-0.215,0.212,-0.020,-0.046,0.219,-0.170,0.097
2024/01/01 10:06:00,-0.182,0.010,-0.061,-0.028,0.128,-0.210,0.077
2024/01/01 10:07:00,-0.117,-0.234,-0.125,-0.089,-0.012,-0.190,-0.003
2024/01/01 10:08:00,-0.059,-0.347,-0.120,-0.095,-0.062,-0.181,-0.063
2024/01/01 10:09:00,0.017,-0.311,-0.026,-0.129,-0.052,-0.161,-0.063
2024/01/01 10:10:00,0.109,-0.128,0.077,-0.089,-0.032,-0.171,-0.053
2024/01/01 10:11:00,0.139,0.104,0.067,-0.001,-0.023,-0.172,0.047
2024/01/01 10:12:00,0.118,0.232,-0.001,0.057,0.047,-0.072,0.047
2024/01/01 10:13:00,0.038,0.220,-0.066,0.103,0.007,-0.053,0.007
2024/01/01 10:14:00,-0.032,0.034,-0.149,0.091,-0.023,-0.083,-0.012
2024/01/01 10:15:00,-0.126,-0.192,-0.210,0.057,-0.024,-0.024,0.018
2024/01/01 10:16:00,-0.236,-0.286,-0.208,0.042,0.016,-0.014,-0.042
2024/01/01 10:17:00,-0.309,-0.243,-0.072,0.079,0.146,0.055,-0.022
2024/01/01 10:18:00,-0.261,-0.099,0.120,0.064,0.175,0.125,0.018
2024/01/01 10:19:00,-0.200,0.105,0.217,0.170,0.075,0.134,-0.022
2024/01/01 10:20:00,-0.109,0.279,0.228,0.228,-0.075,0.114,-0.022
2024/01/01 10:21:00,-0.024,0.292,0.188,0.134,-0.116,0.113,0.038
