Time (UTC),Toyama (m),Sado (m),Fukaura (m),Saigo (m),Rudnaya (m),Preobrazheniye (m),Sosunovo (m)
2024/01/01 01:10:00,-0.031,0.015,0.014,0.008,-0.047,-0.021,-0.007
2024/01/01 01:11:00,-0.009,0.003,-0.015,-0.009,-0.056,0.000,0.004
2024/01/01 01:12:00,0.019,-0.023,-0.008,0.004,0.064,-0.009,0.014
2024/01/01 01:13:00,-0.016,-0.053,-0.007,-0.004,0.015,0.002,0.034
2024/01/01 01:14:00,-0.027,-0.025,-0.006,0.007,-0.005,0.003,0.034
2024/01/01 01:15:00,-0.017,0.006,-0.004,-0.011,-0.034,0.004,0.025
2024/01/01 01:16:00,-0.031,0.004,-0.034,0.003,-0.024,0.015,0.005
2024/01/01 01:17:00,-0.027,0.008,0.025,0.001,-0.013,0.006,-0.005
2024/01/01 01:18:00,-0.035,0.000,-0.001,-0.008,-0.033,-0.013,-0.005
2024/01/01 01:19:00,-0.009,0.003,0.024,-0.010,-0.002,-0.002,-0.005
2024/01/01 01:20:00,-0.017,-0.005,0.004,-0.005,0.019,-0.021,0.006
2024/01/01 01:21:00,-0.004,-0.007,0.014,-0.008,0.009,-0.020,0.006
2024/01/01 01:22:00,-0.017,0.000,0.015,-0.010,0.020,0.001,-0.004
2024/01/01 01:23:00,0.011,-0.006,0.004,-0.015,0.090,-0.008,-0.004
2024/01/01 01:24:00,0.007,-0.011,-0.007,0.002,-0.009,-0.017,-0.023
2024/01/01 01:25:00,-0.016,-0.013,0.012,-0.019,-0.009,-0.006,-0.033
2024/01/01 01:26:00,-0.003,0.030,0.013,-0.003,-0.058,-0.005,-0.023
2024/01/01 01:27:00,-0.004,0.031,-0.001,-0.017,-0.047,-0.004,-0.002
2024/01/01 01:28:00,0.000,0.016,0.009,-0.010,0.033,0.007,-0.002
2024/01/01 01:29:00,-0.023,-0.010,0.007,-0.006,-0.036,0.128,0.008
2024/01/01 01:30:00,-0.009,-0.013,0.008,-0.020,-0.006,0.219,0.009
2024/01/01 01:31:00,-0.010,0.012,-0.006,-0.010,0.025,0.040,-0.001
2024/01/01 01:32:00,0.003,-0.002,-0.015,0.000,0.025,0.001,-0.011
2024/01/01 01:33:00,-0.013,0.026,-0.008,0.003,0.016,0.002,-0.010
2024/01/01 01:34:00,0.006,0.021,-0.013,-0.017,-0.033,-0.008,0.010
2024/01/01 01:35:00,0.014,0.012,-0.018,-0.007,-0.023,-0.007,0.000
2024/01/01 01:36:00,0.009,-0.002,0.016,-0.016,-0.002,-0.026,0.001
2024/01/01 01:37:00,0.005,-0.002,0.020,-0.003,-0.002,-0.015,0.001
2024/01/01 01:38:00,0.010,-0.010,0.015,-0.008,0.049,-0.014,-0.018
2024/01/01 01:39:00,0.002,-0.003,0.013,-0.001,-0.011,-0.024,0.002
2024/01/01 01:40:00,0.007,0.006,0.013,-0.004,0.000,-0.003,0.002
2024/01/01 01:41:00,0.002,0.016,-0.004,0.003,-0.009,-0.002,0.003
2024/01/01 01:42:00,-0.018,0.017,-0.003,-0.009,-0.009,-0.001,0.003
2024/01/01 01:43:00,0.002,0.011,-0.012,-0.002,0.052,-0.001,-0.016
2024/01/01 01:44:00,0.000,0.009,-0.005,0.002,0.002,0.000,0.004
2024/01/01 01:45:00,-0.007,-0.015,-0.001,-0.001,-0.017,0.001,0.005
2024/01/01 01:46:00,0.003,-0.005,0.015,0.012,-0.006,0.012,0.015
2024/01/01 01:47:00,0.002,-0.017,-0.009,0.006,-0.026,0.002,0.006
2024/01/01 01:48:00,0.024,-0.022,-0.011,0.013,-0.015,-0.007,0.016
2024/01/01 01:49:00,0.026,0.003,0.011,0.007,-0.045,0.004,0.007
2024/01/01 01:50:00,0.024,0.025,0.011,0.010,-0.034,0.004,-0.013
2024/01/01 01:51:00,0.016,0.010,-0.015,0.014,-0.004,0.005,0.018
2024/01/01 01:52:00,0.008,0.026,0.003,0.023,-0.033,0.005,-0.002
