Time (UTC),Toyama,sado (m),fukaura (m),saigo (m),rudnaya (m),preobrazheniye (m),sosunovo (m)
2024/01/01 21:14,-0.041,0.069,-0.039,-0.032,0.093,0.088,-0.05
2024/01/01 21:15,-0.034,0.067,-0.036,-0.032,0.073,0.088,0.01
2024/01/01 21:16,-0.019,0.046,-0.036,-0.044,0.063,0.078,-0.001
2024/01/01 21:17,-0.001,0.022,-0.032,-0.043,0.023,0.028,-0.001
2024/01/01 21:18,0.027,0.01,-0.014,-0.043,-0.046,0.018,-0.021
2024/01/01 21:19,0.046,0.004,0.008,-0.034,-0.076,-0.022,-0.011
2024/01/01 21:20,0.058,-0.002,0.039,-0.034,-0.096,-0.032,0.009
2024/01/01 21:21,0.058,-0.011,0.075,-0.009,-0.096,-0.042,0.049
2024/01/01 21:22,0.056,-0.01,0.094,-0.012,-0.136,-0.062,0.079
2024/01/01 21:23,0.044,-0.013,0.085,-0.012,-0.116,-0.062,0.099
2024/01/01 21:24,0.029,-0.01,0.064,-0.008,-0.086,-0.102,0.129
2024/01/01 21:25,0.011,0,0.009,-0.002,-0.016,-0.062,0.139
2024/01/01 21:26,0.012,0.009,-0.037,0.02,0.035,-0.112,0.109
2024/01/01 21:27,0.015,0.012,-0.07,0.026,0.045,-0.112,0.049
2024/01/01 21:28,0.021,0.012,-0.1,0.032,0.055,-0.112,0.02
2024/01/01 21:29,0.022,0.015,-0.082,0.026,0.095,-0.072,0.01
2024/01/01 21:30,0.031,0.009,-0.036,0.039,0.125,-0.043,0.02
2024/01/01 21:31,0.038,0.003,0.028,0.033,0.106,-0.023,0.02
2024/01/01 21:32,0.023,0,0.065,0.033,0.026,0.007,0.02
2024/01/01 21:33,0.006,-0.009,0.074,0.024,-0.014,0.057,-0.01
2024/01/01 21:34,-0.006,-0.018,0.056,0.018,-0.014,0.037,-0.02
2024/01/01 21:35,-0.03,-0.018,0.013,0.009,-0.013,0.067,-0.039
2024/01/01 21:36,-0.038,-0.024,-0.042,-0.003,-0.033,0.117,-0.039
2024/01/01 21:37,-0.044,-0.027,-0.084,-0.005,-0.083,0.107,-0.049
2024/01/01 21:38,-0.046,-0.021,-0.093,-0.005,-0.052,0.106,-0.059
2024/01/01 21:39,-0.04,-0.015,-0.081,-0.02,-0.032,0.036,-0.059
2024/01/01 21:40,-0.033,-0.012,-0.023,-0.026,0.028,0.036,-0.018
2024/01/01 21:41,-0.026,-0.009,0.053,-0.05,0.019,0.026,0.022
2024/01/01 21:42,-0.019,-0.009,0.105,-0.05,0.029,0.046,0.012
2024/01/01 21:43,-0.022,-0.009,0.114,-0.031,0.039,-0.015,0.013
2024/01/01 21:44,-0.021,-0.009,0.096,-0.019,0.02,-0.025,-0.017
2024/01/01 21:45,-0.017,-0.009,0.06,0.006,0.04,-0.025,-0.047
2024/01/01 21:46,-0.011,0,0.005,0.024,0.03,-0.035,-0.046
2024/01/01 21:47,-0.013,0.012,-0.035,0.022,-0.029,-0.035,-0.036
2024/01/01 21:48,-0.018,0.015,-0.071,0.016,-0.009,-0.056,-0.056
2024/01/01 21:49,-0.014,0.012,-0.071,0.013,-0.008,-0.036,-0.085
2024/01/01 21:50,-0.017,-0.004,-0.056,0.025,-0.038,-0.076,-0.075
2024/01/01 21:51,-0.019,-0.016,-0.029,0.017,-0.048,-0.026,-0.065
2024/01/01 21:52,-0.021,-0.019,0.008,0.002,-0.087,-0.036,-0.014
2024/01/01 21:53,-0.024,-0.007,0.042,-0.007,-0.107,-0.027,0.016
2024/01/01 21:54,-0.026,0.002,0.051,-0.013,-0.066,0.023,0.047
2024/01/01 21:55,-0.022,0.011,0.057,-0.022,-0.046,-0.057,0.017
2024/01/01 21:56,-0.018,0.002,0.048,-0.04,-0.035,-0.027,-0.012
2024/01/01 21:57,-0.014,-0.019,0.03,-0.039,0.005,-0.017,-0.002
2024/01/01 21:58,-0.008,-0.047,-0.007,-0.042,-0.044,-0.088,-0.002
2024/01/01 21:59,0.002,-0.059,-0.043,-0.048,-0.024,-0.108,0.049
2024/01/01 22:00,0.012,-0.044,-0.068,-0.06,-0.003,-0.048,0.069
2024/01/01 22:01,0.025,-0.026,-0.08,-0.038,0.007,0.002,0.1
2024/01/01 22:02,0.026,0.002,-0.074,-0.016,-0.002,-0.028,0.07
2024/01/01 22:03,0.03,0.026,-0.04,0.009,0.008,0.081,0.061
2024/01/01 22:04,0.024,0.038,0.006,0.025,0.048,0.021,0.021
2024/01/01 22:05,0.019,0.026,0.049,0.037,0.059,0.191,0.002
2024/01/01 22:06,0.004,0.014,0.079,0.041,0.059,0.151,-0.028
2024/01/01 22:07,-0.007,-0.001,0.079,0.056,0.06,0.141,-0.017
2024/01/01 22:08,-0.015,0.002,0.058,0.048,0.06,0.101,-0.037
2024/01/01 22:09,-0.021,0.017,0.025,0.067,0.031,0.04,-0.027
2024/01/01 22:10,-0.029,0.026,-0.012,0.085,0.021,0.02,-0.016
2024/01/01 22:11,-0.029,0.029,-0.051,0.095,0.042,-0.06,-0.026
2024/01/01 22:12,-0.016,0.023,-0.066,0.083,0.072,-0.07,0.015
2024/01/01 22:13,-0.009,0.008,-0.069,0.06,0.043,-0.07,-0.025
2024/01/01 22:14,0.001,-0.01,-0.039,0.042,0.003,-0.08,0.006
2024/01/01 22:15,0.016,-0.016,-0.011,0.03,-0.026,-0.09,-0.004
2024/01/01 22:16,0.017,0,0.017,0.028,-0.036,-0.03,0.017
2024/01/01 22:17,0.011,0.021,0.035,0.019,-0.025,-0.02,0.007
2024/01/01 22:18,0.012,0.034,0.035,0.017,-0.025,-0.05,0.018
2024/01/01 22:19,0,0.049,0.017,0.002,-0.044,-0.11,-0.032
2024/01/01 22:20,-0.014,0.05,-0.004,-0.033,-0.044,-0.16,-0.032
2024/01/01 22:21,-0.026,0.035,-0.022,-0.051,-0.094,-0.07,-0.021
2024/01/01 22:22,-0.032,0.02,-0.034,-0.069,-0.073,-0.07,-0.011
2024/01/01 22:23,-0.028,0.002,-0.022,-0.077,-0.023,-0.09,-0.01
2024/01/01 22:24,-0.019,-0.013,-0.006,-0.077,0.018,-0.01,-0.04
2024/01/01 22:25,-0.024,-0.019,0.031,-0.076,0.048,0.05,-0.05
2024/01/01 22:26,-0.015,-0.021,0.043,-0.075,0.099,0.08,-0.059
2024/01/01 22:27,-0.009,-0.024,0.041,-0.083,0.089,0.05,-0.049
2024/01/01 22:28,-0.002,-0.023,0.02,-0.08,0.119,0.08,-0.039
2024/01/01 22:29,-0.005,-0.02,-0.017,-0.07,0.12,0.15,0.002
2024/01/01 22:30,-0.005,-0.016,-0.041,-0.066,0.05,0.07,0.012
2024/01/01 22:31,0.002,-0.022,-0.047,-0.062,-0.039,0.22,0.012
2024/01/01 22:32,0.014,-0.031,-0.043,-0.046,-0.049,0.271,0.013
2024/01/01 22:33,0.024,-0.033,0.003,-0.045,-0.049,0.101,0.023
2024/01/01 22:34,0.036,-0.042,0.031,-0.02,-0.018,0.071,0.003
2024/01/01 22:35,0.036,-0.041,0.052,0.002,-0.008,0.081,0.024
2024/01/01 22:36,0.039,-0.031,0.041,0.021,-0.028,0.032,0.024
2024/01/01 22:37,0.033,-0.019,0.017,0.031,-0.007,0.042,0.024
2024/01/01 22:38,0.021,-0.003,-0.017,0.038,-0.027,-0.038,0.024
2024/01/01 22:39,0.006,0.01,-0.028,0.047,0.024,-0.058,0.005
2024/01/01 22:40,0,0.02,-0.04,0.079,0.064,-0.047,0.005
2024/01/01 22:41,-0.006,0.015,-0.031,0.089,0.034,-0.087,0.015
2024/01/01 22:42,-0.003,0,-0.006,0.102,0.025,-0.117,0.035
2024/01/01 22:43,-0.009,-0.005,0.016,0.099,-0.035,-0.126,0.006
2024/01/01 22:44,0,-0.008,0.016,0.097,-0.065,-0.116,0.026
2024/01/01 22:45,0.006,-0.001,0.023,0.082,-0.044,-0.105,0.026
2024/01/01 22:46,0.015,0.015,0.011,0.074,-0.084,-0.075,0.036
2024/01/01 22:47,0.021,0.031,0.005,0.059,-0.074,-0.114,0.076
2024/01/01 22:48,0.024,0.041,-0.003,0.051,-0.103,-0.054,0.067
2024/01/01 22:49,0.027,0.038,-0.003,0.033,-0.113,-0.063,0.067
2024/01/01 22:50,0.026,0.027,-0.002,0.001,-0.083,-0.103,0.017
2024/01/01 22:51,0.014,0.003,0.01,-0.023,-0.083,-0.052,0.007
2024/01/01 22:52,0.008,-0.008,0.008,-0.053,-0.022,-0.062,-0.053
2024/01/01 22:53,0.004,-0.007,0.008,-0.062,-0.022,-0.011,-0.032
2024/01/01 22:54,-0.002,0.002,-0.001,-0.073,-0.022,0.049,-0.052
2024/01/01 22:55,-0.005,0.012,-0.016,-0.088,-0.001,0.11,-0.022
2024/01/01 22:56,-0.009,0.013,-0.024,-0.093,0.059,0.19,-0.012
2024/01/01 22:57,-0.003,0.008,-0.039,-0.093,0.059,0.181,-0.012
2024/01/01 22:58,0,0.005,-0.027,-0.092,0.07,0.152,-0.032
2024/01/01 22:59,-0.001,0.006,-0.017,-0.08,0.1,0.172,-0.021
2024/01/01 23:00,0.008,0.013,0.002,-0.061,0.12,0.143,-0.041
2024/01/01 23:01,0.014,0.016,0.027,-0.042,0.121,0.124,-0.001
2024/01/01 23:02,0.019,0.026,0.03,-0.015,0.131,0.124,-0.001
2024/01/01 23:03,0.022,0.027,0.033,0.001,0.101,0.025,0.009
2024/01/01 23:04,0.025,0.021,0.022,0.017,0.072,0.046,-0.01
2024/01/01 23:05,0.021,0.013,0.019,0.032,0.042,0.016,0.03
2024/01/01 23:06,0.015,-0.002,0.013,0.054,0.003,-0.003,0.03
2024/01/01 23:07,0.011,-0.01,0.019,0.072,0.023,0.008,0.04
2024/01/01 23:08,0.008,-0.019,0.023,0.079,-0.007,-0.021,0.04
2024/01/01 23:09,0.004,-0.021,0.029,0.091,0.004,-0.071,0.031
2024/01/01 23:10,0.01,-0.018,0.026,0.091,0.034,-0.07,0.001
2024/01/01 23:11,0.015,-0.014,0.012,0.097,0.004,-0.109,0.001
2024/01/01 23:12,0.018,0.002,-0.013,0.079,-0.025,-0.068,-0.059
2024/01/01 23:13,0.026,0.02,-0.037,0.07,-0.045,-0.108,-0.048
2024/01/01 23:14,0.032,0.033,-0.046,0.055,-0.054,-0.157,-0.048
2024/01/01 23:15,0.034,0.03,-0.042,0.037,-0.104,-0.106,-0.018
2024/01/01 23:16,0.04,0.016,-0.024,0.024,-0.103,-0.175,-0.007
2024/01/01 23:17,0.036,-0.008,0.013,0.006,-0.093,-0.124,0.013
2024/01/01 23:18,0.036,-0.029,0.04,-0.012,-0.092,-0.154,0.033
2024/01/01 23:19,0.035,-0.026,0.053,-0.022,-0.062,-0.103,0.034
2024/01/01 23:20,0.028,-0.007,0.053,-0.022,-0.061,-0.162,0.024
2024/01/01 23:21,0.028,0.002,0.026,-0.04,-0.041,-0.081,0.024
2024/01/01 23:22,0.012,0.009,-0.005,-0.05,-0.05,-0.08,0.025
2024/01/01 23:23,0.005,0.009,-0.035,-0.068,-0.03,0,0.035
2024/01/01 23:24,-0.005,0,-0.053,-0.066,-0.019,0.021,0.026
2024/01/01 23:25,-0.012,-0.015,-0.05,-0.057,-0.019,0.022,0.006
2024/01/01 23:26,-0.012,-0.021,-0.026,-0.051,-0.028,0.103,-0.014
2024/01/01 23:27,-0.016,-0.018,0.005,-0.052,-0.017,0.164,-0.003
2024/01/01 23:28,-0.011,-0.011,0.029,-0.043,0.053,0.195,0.007
2024/01/01 23:29,-0.005,-0.005,0.035,-0.037,0.064,0.175,0.008
2024/01/01 23:30,0,0.004,0.02,-0.044,0.054,0.226,0.028
2024/01/01 23:31,-0.007,0.004,-0.007,-0.038,0.035,0.157,-0.001
2024/01/01 23:32,-0.011,-0.002,-0.047,-0.03,0.006,0.108,-0.001
2024/01/01 23:33,-0.024,-0.002,-0.065,-0.009,0.056,0.069,-0.03
2024/01/01 23:34,-0.04,-0.008,-0.069,0.005,0.007,0.05,-0.05
2024/01/01 23:35,-0.059,-0.008,-0.053,0.014,0.018,0.05,-0.049
2024/01/01 23:36,-0.072,-0.011,-0.014,0.013,-0.011,0.021,-0.058
2024/01/01 23:37,-0.079,-0.002,0.032,0.022,-0.021,0.002,-0.058
2024/01/01 23:38,-0.07,0.007,0.053,0.024,-0.02,-0.037,-0.067
2024/01/01 23:39,-0.065,0.007,0.056,0.038,0.021,-0.066,-0.057
2024/01/01 23:40,-0.048,0.01,0.047,0.031,-0.029,-0.095,-0.066
2024/01/01 23:41,-0.033,0.007,0.019,0.034,-0.008,-0.115,-0.035
2024/01/01 23:42,-0.025,0.007,-0.018,0.042,0.053,-0.124,-0.005
2024/01/01 23:43,-0.026,0.001,-0.039,0.047,0.084,-0.153,0.046
2024/01/01 23:44,-0.036,-0.011,-0.049,0.028,0.105,-0.112,0.047
2024/01/01 23:45,-0.046,-0.027,-0.04,0.018,0.105,-0.121,0.047
2024/01/01 23:46,-0.059,-0.039,-0.012,0.008,0.076,-0.071,0.028
2024/01/01 23:47,-0.063,-0.052,0.027,0.004,0.027,-0.02,-0.001
2024/01/01 23:48,-0.07,-0.052,0.045,-0.015,0.028,-0.039,-0.01
2024/01/01 23:49,-0.068,-0.034,0.048,-0.025,0.009,0.072,-0.03
2024/01/01 23:50,-0.054,-0.012,0.02,-0.032,-0.04,0.073,0.001
2024/01/01 23:51,-0.04,-0.004,0.005,-0.036,-0.059,0.023,-0.008
2024/01/01 23:52,-0.029,-0.004,-0.044,-0.053,-0.069,0.024,0.023
2024/01/01 23:53,-0.017,-0.007,-0.078,-0.072,-0.068,0.045,0.013
2024/01/01 23:54,-0.025,-0.028,-0.078,-0.07,-0.057,0.006,0.024
2024/01/01 23:55,-0.029,-0.035,-0.066,-0.068,-0.036,0.007,0.025
2024/01/01 23:56,-0.039,-0.035,-0.033,-0.063,-0.025,-0.003,0.006
2024/01/01 23:57,-0.055,-0.023,0.007,-0.066,0.066,0.018,0.006
2024/01/01 23:58,-0.071,-0.011,0.043,-0.067,0.067,0.019,-0.013
2024/01/01 23:59,-0.088,-0.008,0.046,-0.062,0.098,0.03,-0.012
2024/01/02 0:00,-0.098,-0.011,0.024,-0.045,0.099,0.081,-0.001
