  -15.14392      0.0000000E+00  0.0000000E+00
  -15.12075     -1.7659578E-03 -1.0937571E-02
  -15.08584     -4.0161997E-04 -1.5947009E-02
  -15.04719      3.6239016E-03 -2.0312667E-02
  -15.00701      1.0161106E-02 -2.3885552E-02
  -14.96779      1.8951897E-02 -2.7356002E-02
  -14.93590      3.4298375E-02 -3.2957286E-02
  -14.89945      4.9010508E-02 -3.9072059E-02
  -14.85944      6.5231323E-02 -4.5248020E-02
  -14.81207      8.1390947E-02 -5.2475773E-02
  -14.75426      9.8475225E-02 -5.8794331E-02
  -14.69098      0.1157332     -6.3965231E-02
  -14.63057      0.1331181     -6.7878768E-02
  -14.57484      0.1475561     -7.1566910E-02
  -14.52392      0.1548452     -7.3602736E-02
  -14.47827      0.1595445     -7.5898871E-02
  -14.43025      0.1602288     -7.8938618E-02
  -14.37446      0.1616313     -8.1557944E-02
  -14.31219      0.1577351     -8.4850147E-02
  -14.23392      0.1520582     -9.1220006E-02
  -14.14818      0.1516134     -9.3608603E-02
  -14.06734      0.1538607     -9.3223095E-02
  -13.98548      0.1534469     -9.5098078E-02
  -13.89797      0.1529727     -9.4754405E-02
  -13.81319      0.1542583     -9.3658149E-02
  -13.72764      0.1544318     -9.2627876E-02
  -13.64792      0.1570775     -8.8563375E-02
  -13.57652      0.1586775     -8.5099041E-02
  -13.51294      0.1601229     -7.9228044E-02
  -13.46099      0.1575018     -7.4502155E-02
  -13.41834      0.1499374     -6.9313943E-02
  -13.38059      0.1343871     -6.3974068E-02
  -13.34267      0.1174892     -6.0473889E-02
  -13.29830      9.7010568E-02 -5.6922235E-02
  -13.24772      7.8750134E-02 -5.5132508E-02
  -13.18439      6.1971974E-02 -5.2375104E-02
  -13.11899      5.1446769E-02 -4.9596481E-02
  -13.04726      3.7248533E-02 -4.9046710E-02
  -12.95347      1.9390259E-02 -5.0763361E-02
  -12.84029      9.9900477E-03 -5.5004179E-02
  -12.71082      2.0322902E-03 -6.2009633E-02
  -12.56620      3.7273439E-04 -7.1842849E-02
  -12.40205      8.6644590E-03 -8.0378234E-02
  -12.22146      2.7844906E-02 -9.2376888E-02
  -12.01974      5.4030009E-02 -0.1105709    
  -11.79413      9.3795814E-02 -0.1312648    
  -11.55545      0.1436368     -0.1537223    
  -11.32345      0.1973118     -0.1730359    
  -11.07541      0.2809833     -0.1917403    
  -10.85501      0.3746560     -0.2035038    
  -10.66959      0.4501137     -0.2256146    
  -10.47586      0.5193508     -0.2599687    
  -10.24659      0.5999269     -0.2806825    
  -9.956877      0.7130722     -0.3193221    
  -9.873044      0.7788294     -0.3147712    
  -9.681882      0.8366733     -0.3608945    
  -9.534684      0.9573232     -0.3444767    
  -9.482995      0.9947128     -0.3652607    
  -9.306117       1.011888     -0.4457024    
  -9.190805       1.098309     -0.3722314    
  -9.142307       1.112965     -0.4259270    
  -8.995694       1.136918     -0.4144966    
  -8.780063       1.170985     -0.4388043    
  -8.702316       1.114146     -0.4672297    
  -8.335022       1.121760     -0.4900193    
  -8.011713       1.080421     -0.5460426    
  -7.461961      0.9782905     -0.6302620    
  -6.644796      0.9846798     -0.6925989    
  -5.682258       1.029259     -0.7681401    
  -4.354605       1.137911     -0.9313741    
  -2.883894       1.272590      -1.088726    
  -1.213410       1.386408      -1.327321    
  0.9355415       1.736247      -1.493884    
   3.197400       2.176282      -1.703837    
   5.561036       2.713163      -1.892567    
   7.932833       3.376306      -2.089000    
   10.10765       4.127244      -2.251340    
   11.93410       4.930057      -2.335890    
   13.45213       5.774687      -2.427527    
   14.42531       6.567760      -2.424590    
   15.06870       7.293527      -2.447619    
   15.29279       7.936140      -2.437913    
   15.33988       8.297319      -2.545808    
   15.52649       8.457893      -2.711109    
   16.30403       8.447117      -2.991591    
   17.74459       8.328593      -3.341145    
   19.97896       8.151763      -3.788896    
   23.06515       8.081022      -4.195713    
   26.74891       8.215330      -4.549819    
   30.51350       8.603800      -4.713966    
   33.96319       9.213209      -4.729731    
   36.83879       10.15189      -4.489580    
   38.57154       11.11625      -4.165025    
   39.41558       11.92432      -3.795484    
   39.76946       12.42113      -3.594857    
   40.28634       12.67052      -3.423610    
   40.57306       12.14964      -3.519386    
   41.89101       11.08023      -3.829283    
   44.51977       9.775190      -4.260807    
   48.15896       8.342075      -4.753020    
   53.12147       7.300174      -5.180024    
   58.98226       6.977046      -5.489484    
   65.22678       7.384602      -5.692480    
   71.50266       8.539195      -5.827921    
   77.54692       10.35240      -5.803138    
   82.76638       12.39151      -5.733937    
   87.21660       14.51706      -5.687544    
   90.54015       16.32238      -5.556835    
   92.62861       17.21969      -5.621865    
   94.57001       17.59447      -5.718446    
   96.87602       17.63721      -5.945329    
   98.88406       17.22837      -6.160312    
   101.5195       16.61862      -6.435200    
   104.6308       16.45156      -6.598441    
   107.3195       16.50297      -6.475360    
   109.5726       16.50447      -6.474612    
   112.0167       16.63100      -6.468396    
   114.2495       16.69050      -6.396716    
   116.4074       16.72399      -6.428127    
   119.0522       16.96824      -6.315519    
   121.8284       16.93287      -6.120376    
   124.0423       16.99151      -5.995578    
   126.3067       16.66671      -5.859922    
   128.9459       16.05633      -5.855015    
   131.8766       15.07724      -5.647914    
   135.1949       13.65913      -5.478265    
   138.7262       12.04095      -4.943326    
   141.7466       10.44905      -4.303938    
   143.9193       8.934168      -3.512227    
   144.6575       7.588129      -2.626029    
   144.1900       6.279301      -1.738687    
   142.5859       4.990428     -0.8063613    
   139.7037       3.708175      3.4811549E-02
   136.3455       2.474482      0.9503910    
   132.8656      0.8258246       1.731870    
