  -9.934099      0.0000000E+00  0.0000000E+00
  -9.936475      3.3378436E-03  2.5242922E-04
  -9.941042      6.7689684E-03 -3.6700007E-05
  -9.945897      9.8548923E-03 -5.9429300E-04
  -9.950941      1.2387527E-02 -1.0658939E-03
  -9.955972      1.4235500E-02 -1.4801642E-03
  -9.960210      1.4687983E-02 -1.8925390E-03
  -9.963233      1.4186794E-02 -2.3542796E-03
  -9.965592      1.3513645E-02 -2.8855724E-03
  -9.966797      1.2504099E-02 -3.3316037E-03
  -9.967158      1.1355570E-02 -3.7209291E-03
  -9.966068      9.9627376E-03 -4.3781437E-03
  -9.963455      9.0900324E-03 -5.1257964E-03
  -9.959164      9.1210660E-03 -5.9829885E-03
  -9.952852      1.0584345E-02 -6.7730937E-03
  -9.945514      1.3114506E-02 -7.5072516E-03
  -9.937589      1.6161071E-02 -8.2441065E-03
  -9.929301      1.9093294E-02 -9.2117293E-03
  -9.920008      2.1992445E-02 -1.0361094E-02
  -9.909460      2.4681555E-02 -1.1801160E-02
  -9.897876      2.7294297E-02 -1.3348794E-02
  -9.885197      2.9970599E-02 -1.4893390E-02
  -9.871958      3.2869048E-02 -1.6401626E-02
  -9.858100      3.6151700E-02 -1.7927829E-02
  -9.843498      3.9881013E-02 -1.9718345E-02
  -9.827804      4.3937914E-02 -2.1831702E-02
  -9.810864      4.8850689E-02 -2.4020664E-02
  -9.792660      5.4827243E-02 -2.6007529E-02
  -9.773034      6.1191197E-02 -2.8045023E-02
  -9.752079      6.7228444E-02 -3.0172005E-02
  -9.730742      7.3070899E-02 -3.2420985E-02
  -9.709037      7.8649513E-02 -3.4765393E-02
  -9.686461      8.3776429E-02 -3.7026916E-02
  -9.662635      8.8552177E-02 -3.9301656E-02
  -9.637624      9.3014047E-02 -4.1488476E-02
  -9.611305      9.7740784E-02 -4.3633804E-02
  -9.583873      0.1026554     -4.5849994E-02
  -9.554725      0.1077556     -4.8123799E-02
  -9.523536      0.1127851     -5.0752401E-02
  -9.488492      0.1170614     -5.4003000E-02
  -9.448015      0.1211774     -5.7652548E-02
  -9.401690      0.1257836     -6.1470412E-02
  -9.350276      0.1309487     -6.5883666E-02
  -9.291526      0.1367361     -7.1596883E-02
  -9.221070      0.1434950     -7.8611478E-02
  -9.137571      0.1517244     -8.6778477E-02
  -9.041190      0.1623500     -9.6279994E-02
  -8.931376      0.1763485     -0.1072692    
  -8.808363      0.1944990     -0.1191334    
  -8.672121      0.2172198     -0.1324339    
  -8.519056      0.2444623     -0.1479434    
  -8.346146      0.2767062     -0.1663941    
  -8.150662      0.3145771     -0.1880281    
  -7.931547      0.3590721     -0.2123147    
  -7.692386      0.4113477     -0.2377104    
  -7.440719      0.4720038     -0.2630033    
  -7.179190      0.5400742     -0.2895376    
  -6.899813      0.6130742     -0.3211426    
  -6.594910      0.6841776     -0.3612237    
  -6.212645      0.7750742     -0.4113609    
  -5.797080      0.8820922     -0.4570954    
  -5.370337      0.9834504     -0.5119230    
  -4.845156       1.096489     -0.5928214    
  -4.218249       1.237729     -0.6633138    
  -3.489800       1.390910     -0.7601906    
  -2.638785       1.527207     -0.9003381    
  -1.544759       1.727011      -1.043532    
 -0.2544211       1.990367      -1.202694    
   1.189907       2.252635      -1.401387    
   3.035610       2.600397      -1.656137    
   5.154460       3.050196      -1.898217    
   7.441514       3.528669      -2.181242    
   10.11533       4.136087      -2.500217    
   12.90166       4.865091      -2.785805    
   15.82835       5.654370      -3.098309    
   18.80020       6.603824      -3.381845    
   21.61881       7.604568      -3.621408    
   24.39252       8.587953      -3.891351    
   27.15494       9.665717      -4.131524    
   29.43183       10.71947      -4.303696    
   31.34764       11.73412      -4.435032    
   32.72520       12.64282      -4.505807    
   33.40777       13.37706      -4.463046    
   33.32554       13.92831      -4.294118    
   32.43676       14.20263      -4.066725    
   30.89311       14.23469      -3.733577    
   28.84292       13.93039      -3.424824    
   26.68412       13.19767      -3.172293    
   25.23272       12.07491      -3.136239    
   25.17418       10.59104      -3.332054    
   26.89266       8.802862      -3.745747    
   30.99304       7.072449      -4.303376    
   36.78531       5.522704      -4.826570    
   43.89017       4.582064      -5.112620    
   51.00651       4.242451      -5.093192    
   57.73419       4.500181      -4.896527    
   64.15765       5.553118      -4.516503    
   69.70377       6.778135      -4.316574    
   75.34670       8.489096      -4.145899    
   80.25027       10.16805      -4.090672    
   83.59692       11.48638      -3.845305    
   85.16272       12.32299      -3.564821    
   84.73511       12.23030      -3.263249    
   83.47896       11.49284      -3.174916    
   82.85905       10.65276      -3.301863    
   82.52724       9.968275      -3.459533    
   83.34035       9.855320      -3.819394    
   85.29723       10.70705      -4.021198    
   86.48822       11.80845      -3.988207    
   86.44098       12.50845      -3.827688    
   86.24935       12.36949      -4.021098    
   87.34232       11.59135      -4.317109    
   89.64585       10.77573      -4.565180    
   92.99146       10.16298      -4.823729    
   98.14691       9.996233      -5.006715    
   103.6251       10.31902      -4.939347    
   107.9050       10.54949      -4.621498    
   110.7881       10.05190      -4.086759    
   112.2605       8.853451      -3.618213    
   113.5373       7.167943      -3.184419    
   114.7400       5.708824      -2.651136    
   115.5129       4.865049      -1.873962    
   114.8738       4.593839      -1.059802    
   112.7721       4.635246      3.8110584E-02
   108.7101       4.013351      0.9302593    
   103.5684       2.598867       1.697612    
   97.79866      0.6974001       2.148735    
   91.43311      -1.258997       2.543211    
   86.59718      -3.133199       2.832681    
   84.23035      -5.315029       3.338568    
   82.37355      -7.917892       4.119463    
   80.77404      -11.06110       5.009116    
   79.05195      -14.17915       5.762036    
