,id,date,value
470,12103,2022-01-15 11:26:00,1021.3
471,12106,2022-01-15 11:24:00,1024.0
472,12107,2022-01-15 11:24:00,1020.5
473,12108,2022-01-15 11:24:00,1017.6
474,12109,2022-01-15 11:25:00,1021.0
475,12110,2022-01-15 11:24:00,1022.9
476,12111,2022-01-15 11:24:00,1020.3
477,12112,2022-01-15 11:25:00,1016.3
478,12115,2022-01-15 11:24:00,1021.8
479,12117,2022-01-15 11:24:00,1020.8
480,12118,2022-01-15 11:23:00,1023.0
481,12119,2022-01-15 11:24:00,1014.4
482,12121,2022-01-15 11:27:00,1021.3
483,12122,2022-01-15 11:26:00,1016.7
484,12123,2022-01-15 11:25:00,1015.8
485,12126,2022-01-15 11:25:00,1022.5
486,12127,2022-01-15 11:25:00,1012.5
487,12128,2022-01-15 11:25:00,1022.2
488,12129,2022-01-15 11:25:00,1023.6
489,12130,2022-01-15 11:26:00,1020.4
490,12131,2022-01-15 11:25:00,1021.7
491,12135,2022-01-15 11:26:00,1023.1
492,12136,2022-01-15 11:28:00,1017.0
493,12137,2022-01-15 11:28:00,1020.2
494,12138,2022-01-15 11:28:00,1023.1
495,13042,2022-01-15 11:28:00,1017.4
496,13044,2022-01-15 11:28:00,1020.5
497,13045,2022-01-15 11:28:00,1021.9
498,13046,2022-01-15 11:27:00,1024.2
499,13047,2022-01-15 11:27:00,1016.1
500,13049,2022-01-15 11:27:00,1016.3
501,13051,2022-01-15 11:28:00,1015.8
502,13054,2022-01-15 11:28:00,1018.7
503,13062,2022-01-15 11:29:00,1011.0
504,13066,2022-01-15 11:25:00,1007.8
505,13067,2022-01-15 11:28:00,1017.0
506,13068,2022-01-15 11:28:00,1015.5
507,13069,2022-01-15 11:29:00,1020.0
508,13071,2022-01-15 11:30:00,1001.9
509,13073,2022-01-15 11:29:00,1013.5
510,13077,2022-01-15 11:28:00,1018.4
511,13078,2022-01-15 11:28:00,1019.9
512,13079,2022-01-15 11:28:00,1020.5
513,13080,2022-01-15 11:28:00,1007.2
514,13084,2022-01-15 11:27:00,1019.1
515,13085,2022-01-15 11:27:00,1018.1
516,13088,2022-01-15 11:28:00,1015.7
517,13094,2022-01-15 11:29:00,1009.4
518,13096,2022-01-15 11:29:00,995.3
519,13097,2022-01-15 11:29:00,1008.1
520,13098,2022-01-15 11:29:00,1003.1
521,13100,2022-01-15 11:29:00,1002.3
522,13105,2022-01-15 11:28:00,1017.3
523,13106,2022-01-15 11:28:00,1022.6
524,13107,2022-01-15 11:28:00,1020.4
525,13109,2022-01-15 11:27:00,1017.4
526,13112,2022-01-15 11:29:00,1010.2
527,13116,2022-01-15 11:28:00,1019.4
528,13117,2022-01-15 11:28:00,1017.4
529,13119,2022-01-15 11:28:00,1018.1
530,13122,2022-01-15 11:28:00,1023.5
531,13123,2022-01-15 11:28:00,1018.9
532,13124,2022-01-15 11:24:00,1007.5
533,13125,2022-01-15 11:29:00,1009.0
534,13126,2022-01-15 11:29:00,1007.3
535,13127,2022-01-15 11:29:00,1012.9
536,13128,2022-01-15 11:28:00,1018.9
537,13130,2022-01-15 11:27:00,1017.8
538,13132,2022-01-15 11:27:00,1012.0
539,13134,2022-01-15 11:29:00,1012.2
540,13135,2022-01-15 11:28:00,1018.9
541,13136,2022-01-15 11:28:00,1012.9
542,13138,2022-01-15 11:28:00,1017.5
